Fecha,Irradiancia (W/m²),Temperatura (°C),Temp de celda (°C),Pot (kW)
2019-01-01 00:00:00,0,27.9,27.9,0.0
2019-01-01 00:10:00,0,27.8,27.8,0.0
2019-01-01 00:20:00,0,28.0,28.0,0.0
2019-01-01 00:30:00,0,28.0,28.0,0.0
2019-01-01 00:40:00,0,27.9,27.9,0.0
2019-01-01 00:50:00,0,27.8,27.8,0.0
2019-01-01 01:00:00,0,27.8,27.8,0.0
2019-01-01 01:10:00,0,27.7,27.7,0.0
2019-01-01 01:20:00,0,27.6,27.6,0.0
2019-01-01 01:30:00,0,27.4,27.4,0.0
2019-01-01 01:40:00,0,27.4,27.4,0.0
2019-01-01 01:50:00,0,27.4,27.4,0.0
2019-01-01 02:00:00,0,27.4,27.4,0.0
2019-01-01 02:10:00,0,27.4,27.4,0.0
2019-01-01 02:20:00,0,27.2,27.2,0.0
2019-01-01 02:30:00,0,27.1,27.1,0.0
2019-01-01 02:40:00,0,27.0,27.0,0.0
2019-01-01 02:50:00,0,26.9,26.9,0.0
2019-01-01 03:00:00,0,26.9,26.9,0.0
2019-01-01 03:10:00,0,26.9,26.9,0.0
2019-01-01 03:20:00,0,26.8,26.8,0.0
2019-01-01 03:30:00,0,26.8,26.8,0.0
2019-01-01 03:40:00,0,26.8,26.8,0.0
2019-01-01 03:50:00,0,26.7,26.7,0.0
2019-01-01 04:00:00,0,26.6,26.6,0.0
2019-01-01 04:10:00,0,26.6,26.6,0.0
2019-01-01 04:20:00,0,26.5,26.5,0.0
2019-01-01 04:30:00,0,26.5,26.5,0.0
2019-01-01 04:40:00,0,26.4,26.4,0.0
2019-01-01 04:50:00,0,26.3,26.3,0.0
2019-01-01 05:00:00,0,26.1,26.1,0.0
2019-01-01 05:10:00,0,26.1,26.1,0.0
2019-01-01 05:20:00,0,26.1,26.1,0.0
2019-01-01 05:30:00,0,26.1,26.1,0.0
2019-01-01 05:40:00,0,26.2,26.2,0.0
2019-01-01 05:50:00,0,26.2,26.2,0.0
2019-01-01 06:00:00,0,26.2,26.2,0.0
2019-01-01 06:10:00,0,26.2,26.2,0.0
2019-01-01 06:20:00,0,26.3,26.3,0.0
2019-01-01 06:30:00,2,26.3,26.362000000000002,0.005439207398399999
2019-01-01 06:40:00,35,26.5,27.585,0.09467082576000001
2019-01-01 06:50:00,59,26.7,28.529,0.1589174726976
2019-01-01 07:00:00,10,26.8,27.11,0.02710598976
2019-01-01 07:10:00,35,26.9,27.985,0.09450228815999999
2019-01-01 07:20:00,167,27.3,32.477000000000004,0.4418801434944
2019-01-01 07:30:00,181,27.8,33.411,0.47688884818560007
2019-01-01 07:40:00,119,28.3,31.989,0.3155717710655999
2019-01-01 07:50:00,23,28.1,28.813000000000002,0.0618722443584
2019-01-01 08:00:00,22,28.2,28.881999999999998,0.059163872486399996
2019-01-01 08:10:00,274,28.4,36.894,0.7104313840896
2019-01-01 08:20:00,351,28.6,39.481,0.8991468472895999
2019-01-01 08:30:00,407,29.1,41.717,1.0316449053504
2019-01-01 08:40:00,459,30.0,44.229,1.1495717453376
2019-01-01 08:50:00,501,30.2,45.731,1.2457023967296
2019-01-01 09:00:00,384,31.2,43.104,0.9669338136575999
2019-01-01 09:10:00,584,31.8,49.903999999999996,1.4227382808576001
2019-01-01 09:20:00,606,32.3,51.086,1.4677115763456
2019-01-01 09:30:00,651,32.2,52.381,1.5665511468095998
2019-01-01 09:40:00,635,32.5,52.185,1.5295474209599997
2019-01-01 09:50:00,385,32.6,44.535000000000004,0.9628194945599999
2019-01-01 10:00:00,861,31.5,58.191,2.0116692138816004
2019-01-01 10:10:00,278,32.1,40.718,0.7080049592064
2019-01-01 10:20:00,906,32.2,60.286,2.0939589939456
2019-01-01 10:30:00,687,32.9,54.197,1.6381616917824
2019-01-01 10:40:00,441,32.2,45.871,1.0957732301376
